347, 35, 47, 5766
326, 28, 28, 4805
289, 60, 35, 4805
285, 77, 66, 6727
274, 4, 17, 4805
272, 4, 13, 5766
266, 51, 62, 5766
257, 50, 61, 5766
255, 6, 17, 5766
214, 4, 16, 5766
216, 4, 16, 6727
219, 4, 16, 4805
221, 4, 16, 4805
225, 4, 16, 4805
228, 4, 16, 5766
214, 7, 16, 8649
216, 7, 16, 5766
216, 19, 20, 4805
212, 14, 18, 4805
200, 19, 21, 24986
202, 19, 21, 4805
207, 19, 21, 4805
209, 19, 21, 5766
161, 58, 35, 4805
172, 58, 35, 7688
182, 58, 35, 6727
187, 58, 35, 5766
197, 58, 35, 7688
202, 58, 35, 4805
205, 12, 17, 7688
196, 20, 36, 9610
200, 20, 36, 6727
201, 6, 17, 5766
203, 6, 17, 17298
201, 4, 13, 6727
188, 14, 23, 14415
190, 14, 23, 6727
197, 14, 23, 13454
198, 14, 23, 7688
191, 12, 15, 6727
196, 12, 15, 12493
187, 4, 14, 9610
191, 4, 14, 4805
173, 22, 36, 5766
177, 22, 36, 7688
179, 22, 36, 7688
187, 22, 36, 4805
188, 22, 36, 9610
182, 18, 35, 5766
184, 18, 35, 5766
175, 16, 21, 18259
179, 16, 21, 4805
182, 16, 21, 6727
174, 10, 36, 5766
177, 22, 41, 4805
175, 27, 43, 4805
172, 14, 16, 17298
173, 14, 16, 36518
162, 22, 32, 4805
