2891, 40, 49, 726
2882, 31, 44, 484
2874, 0, 21, 242
2859, 27, 28, 1331
2856, 26, 32, 242
2853, 26, 29, 1694
2853, 4, 36, 242
2847, 26, 32, 363
2846, 30, 31, 363
2837, 25, 29, 363
2809, 37, 44, 1089
2777, 51, 61, 242
2780, 51, 61, 242
2781, 51, 61, 242
2784, 51, 61, 484
2786, 51, 61, 363
2788, 51, 61, 363
2794, 51, 61, 242
2799, 51, 61, 363
2801, 51, 61, 242
2805, 51, 61, 363
2807, 51, 61, 726
2806, 9, 15, 484
2808, 9, 15, 242
2784, 5, 12, 242
2786, 5, 12, 1210
2788, 5, 12, 363
2792, 5, 12, 242
2794, 5, 12, 968
2772, 11, 15, 242
2775, 11, 15, 242
2777, 11, 15, 242
2781, 11, 15, 242
2785, 11, 15, 242
2788, 11, 15, 726
2790, 11, 15, 847
2793, 11, 15, 484
2795, 11, 15, 363
2788, 3, 10, 242
2793, 3, 10, 726
2795, 3, 10, 726
2772, 14, 15, 484
2774, 14, 15, 605
2776, 14, 15, 968
2780, 14, 15, 363
2783, 14, 15, 363
2784, 14, 15, 605
2788, 14, 15, 363
2790, 14, 15, 605
2792, 14, 15, 363
2794, 14, 15, 242
2792, 17, 15, 242
2789, 1, 13, 242
2788, 2, 13, 242
2790, 2, 13, 242
2768, 15, 19, 242
2772, 15, 19, 242
2774, 15, 19, 484
2776, 15, 19, 363
2783, 15, 19, 242
2788, 15, 19, 484
2783, 41, 58, 242
2768, 16, 16, 726
2770, 16, 16, 484
2772, 16, 16, 363
2774, 16, 16, 968
2773, 51, 61, 484
2767, 31, 25, 363
2769, 31, 25, 363
2768, 47, 55, 242
2763, 28, 41, 242
2762, 47, 54, 242
2725, 78, 82, 242
2727, 78, 82, 242
2730, 78, 82, 363
2731, 78, 82, 605
2729, 100, 88, 242
2730, 100, 88, 242
2732, 34, 53, 242
