2176, 58, 32, 242
2165, 22, 38, 484
2165, 29, 44, 484
2116, 0, 42, 242
2088, 39, 51, 363
2081, 41, 52, 363
2084, 41, 52, 363
2082, 7, 15, 242
2057, 41, 49, 242
2058, 41, 49, 484
2059, 41, 49, 726
2060, 41, 49, 605
2062, 41, 49, 484
2064, 41, 49, 242
2072, 41, 49, 484
2075, 41, 49, 242
2053, 29, 43, 484
2057, 29, 43, 242
2063, 29, 43, 242
2061, 50, 64, 726
2049, 9, 15, 363
2051, 9, 15, 363
2055, 9, 15, 242
2056, 9, 15, 242
2057, 9, 15, 242
2061, 9, 15, 847
2052, 6, 18, 242
2054, 6, 18, 242
2056, 6, 18, 242
2055, 25, 36, 242
2055, 5, 85, 605
2040, 6, 18, 242
2041, 6, 18, 242
2043, 6, 18, 484
2045, 6, 18, 484
2030, 47, 56, 484
2036, 47, 56, 242
2040, 47, 56, 242
2011, 57, 93, 484
2012, 31, 55, 242
2013, 31, 55, 242
2014, 31, 55, 242
2014, 90, 85, 242
1986, 79, 81, 242
1977, 74, 65, 363
1978, 74, 65, 484
1961, 71, 61, 242
1962, 71, 61, 242
1961, 97, 90, 242
1948, 78, 60, 363
1878, 25, 29, 1089
1846, 93, 94, 484
